Allspeed^1,Allspeed^2,Allspeed^3,Horspeed^1,Horspeed^2,Horspeed^3,VelForwardHand^1,VelForwardHand^2,VelForwardHand^3,VelForwardHead^1,VelForwardHead^2,VelForwardHead^3,HandHeadAngle^1,HandHeadAngle^2,HandHeadAngle^3,VertHandDist^1,VertHandDist^2,VertHandDist^3,HorHandDist^1,HorHandDist^2,HorHandDist^3,HandForwardHead^1,HandForwardHead^2,HandForwardHead^3,HandForward^1,HandForward^2,HandForward^3,States
0.8281868,0.6858934,0.5680479,0.8267643,0.6835392,0.5651258,31.431,987.908,31050.94,120.7808,14588,1761951,197.3727,38956,7688853,0.2235849,0.0499902,0.01117705,0.4935115,0.2435536,0.1201965,127.7368,16316.7,2084243,44.15368,1949.547,86079.66,0
0.8419849,0.7089386,0.5969156,0.8410616,0.7073846,0.594954,31.23776,975.7977,30481.73,121.0722,14658.48,1774734,198.9918,39597.72,7879620,0.2230589,0.04975529,0.01109836,0.4903392,0.2404326,0.1178935,127.64,16291.96,2079505,45.52414,2072.448,94346.4,0
0.8830422,0.7797636,0.6885641,0.882135,0.7781621,0.686444,30.3962,923.929,28083.93,122.2178,14937.19,1825591,200.7217,40289.2,8086918,0.2222507,0.04939537,0.01097816,0.486851,0.2370239,0.1153953,127.6731,16300.42,2081124,46.81092,2191.262,102575,0
0.8809906,0.7761444,0.6837758,0.8798864,0.7742001,0.6812083,29.1804,851.4959,24846.99,123.7917,15324.38,1897030,202.3547,40947.43,8285907,0.2215889,0.04910162,0.01088037,0.48373,0.2339948,0.1131903,127.7294,16314.8,2083880,48.02354,2306.26,110754.8,0
0.8492001,0.7211409,0.6123929,0.849016,0.7208281,0.6119946,30.4536,927.422,28243.34,124.5239,15506.2,1930893,203.9965,41614.56,8489224,0.2216613,0.04913374,0.01089105,0.4808528,0.2312195,0.1111825,127.7487,16319.73,2084824,49.1785,2418.525,118939.4,0
0.8661476,0.7502117,0.6497941,0.8661041,0.7501364,0.6496962,31.96081,1021.493,32647.75,124.6572,15539.41,1937099,205.7313,42325.36,8707652,0.2218783,0.04922998,0.01092306,0.4782706,0.2287428,0.109401,127.7881,16329.79,2086753,50.326,2532.706,127460.9,0
0.883803,0.7811077,0.6903452,0.8837992,0.781101,0.6903365,30.62937,938.1584,28735.2,125.9393,15860.71,1997488,207.4691,43043.43,8930183,0.2217479,0.04917212,0.01090381,0.4755057,0.2261056,0.1075145,127.9768,16378.07,2096013,51.48702,2650.913,136487.6,0
0.8869871,0.7867462,0.6978338,0.8867526,0.7863302,0.6972803,27.90798,778.8551,21736.27,128.358,16475.77,2114796,209.2296,43777.02,9159447,0.2211983,0.0489287,0.01082295,0.4726461,0.2233944,0.1055865,128.0717,16402.36,2100678,52.89243,2797.609,147972.4,0
0.9032642,0.8158863,0.7369609,0.9029538,0.8153256,0.7362013,27.03028,730.6358,19749.29,129.9805,16894.94,2196013,211.0526,44543.19,9400956,0.2209587,0.04882275,0.01078781,0.4698661,0.2207742,0.1037343,128.074,16402.94,2100789,54.27471,2945.744,159879.4,0
0.9303489,0.865549,0.8052626,0.9303279,0.86551,0.8052081,27.77125,771.2426,21418.37,132.2099,17479.45,2310957,212.9389,45342.98,9655284,0.2209902,0.04883666,0.01079242,0.4665357,0.2176556,0.1015441,128.2086,16437.45,2107423,55.55258,3086.089,171440.2,0
